city_id,city_name,temp_max,humidity,wind_speed,clouds,pop,good_weather_score
1,Aigues-Mortes,19.544285714285714,53.714285714285715,5.901428571428572,29.571428571428573,1.0,6.610714285714284
2,Aix-en-Provence,21.09142857142857,42.857142857142854,5.071428571428571,30.571428571428573,1.83,-10.075714285714293
3,Amiens,18.577142857142857,60.57142857142857,4.708571428571429,56.285714285714285,1.0,-0.4228571428571479
4,Annecy,18.451428571428572,59.0,2.664285714285714,41.714285714285715,2.1,-30.849285714285706
5,Ariège,15.375714285714285,61.0,2.8814285714285717,44.57142857142857,3.2,-74.07071428571427
6,Avignon,21.844285714285714,50.0,7.301428571428572,30.0,1.0,13.882142857142853
7,Bayeux,16.518571428571427,67.85714285714286,4.688571428571429,65.57142857142857,0.2,14.297142857142852
8,Bayonne,19.821428571428573,62.714285714285715,5.114285714285714,46.285714285714285,2.88,-52.93571428571427
9,Besançon,18.004285714285714,61.142857142857146,4.2785714285714285,48.714285714285715,1.67,-21.44071428571428
10,Biarritz,18.834285714285716,66.57142857142857,5.957142857142857,48.42857142857143,2.81,-55.58999999999999
11,Bormes-les-Mimosas,18.96857142857143,54.714285714285715,5.711428571428572,34.285714285714285,0.45999999999999996,20.40714285714286
12,Carcassonne,20.060000000000002,61.714285714285715,7.67,43.42857142857143,2.98,-55.912142857142854
13,Cassis,18.122857142857143,57.857142857142854,5.627142857142857,30.428571428571427,1.87,-24.945
14,Château du Haut-Koenigsbourg,14.745714285714286,64.28571428571429,3.595714285714286,61.285714285714285,2.95,-71.47500000000001
15,Collioure,19.900000000000002,57.714285714285715,6.371428571428572,38.857142857142854,1.41,-6.985714285714282
16,Colmar,17.43857142857143,64.14285714285714,4.017142857142857,60.857142857142854,2.3200000000000003,-44.62142857142858
17,Dijon,16.822857142857142,69.85714285714286,4.72,58.285714285714285,1.9300000000000002,-36.577142857142874
18,Eguisheim,17.11285714285714,64.0,4.031428571428571,59.857142857142854,2.14,-40.062857142857155
19,Gorges du Verdon,16.55,52.0,3.5614285714285714,39.0,4.7,-112.63071428571428
20,Grenoble,20.77857142857143,56.142857142857146,2.498571428571428,39.857142857142854,5.3100000000000005,-119.04214285714286
21,La Rochelle,17.821428571428573,69.42857142857143,6.281428571428571,26.714285714285715,1.8900000000000001,-29.876428571428566
22,Le Havre,15.952857142857143,67.28571428571429,5.494285714285715,48.57142857142857,0.45,6.568571428571428
23,Le Mont-Saint-Michel,18.00857142857143,66.71428571428571,4.982857142857142,59.42857142857143,1.0,-4.42285714285714
24,Lille,19.19,51.0,4.952857142857143,52.0,0.0,34.59357142857144
25,Lyon,19.774285714285714,58.142857142857146,3.5100000000000002,44.714285714285715,0.99,5.953571428571431
26,Marseille,18.962857142857143,56.57142857142857,6.194285714285714,30.0,1.95,-24.680000000000007
27,Montauban,20.12,60.857142857142854,5.734285714285714,34.857142857142854,3.2,-60.25
28,Nimes,22.325714285714287,42.57142857142857,6.152857142857143,29.428571428571427,1.35,7.6864285714285785
29,Paris,20.245714285714286,46.285714285714285,4.198571428571428,45.857142857142854,0.23,33.26642857142858
30,Rouen,18.388571428571428,60.57142857142857,4.768571428571428,57.42857142857143,0.98,-0.5328571428571394
31,Saint-Malo,16.349999999999998,72.28571428571429,5.267142857142858,58.57142857142857,1.0,-11.126428571428576
32,Sainte-Marie de la Mer,16.31142857142857,69.85714285714286,5.95,66.71428571428571,0.5,3.3307142857142846
33,Strasbourg,17.517142857142858,61.42857142857143,4.6499999999999995,61.42857142857143,2.39,-46.04500000000001
34,Toulouse,19.74857142857143,62.714285714285715,6.211428571428571,42.42857142857143,3.0,-56.91714285714284
35,Uzes,21.30857142857143,48.42857142857143,6.072857142857143,30.142857142857142,1.5699999999999998,-3.7535714285714126
